Date,Clicks,Impressions,CTR,Position
2026-06-12,0,0,,
2026-06-13,0,0,,
2026-06-14,0,1,0%,12
2026-06-15,0,2,0%,10
2026-06-16,0,0,,
2026-06-17,0,0,,
2026-06-18,0,0,,
2026-06-19,0,0,,
2026-06-20,3,5,60%,2.8
2026-06-21,1,2,50%,5
2026-06-22,0,3,0%,1
2026-06-23,2,2,100%,1
2026-06-24,0,1,0%,1
2026-06-25,0,1,0%,9
2026-06-26,0,1,0%,57
2026-06-27,1,5,20%,5.6
2026-06-28,0,7,0%,80.7
2026-06-29,2,12,16.67%,69.2
2026-06-30,0,2,0%,65.5
2026-07-01,0,2,0%,66
2026-07-02,0,4,0%,85.8
2026-07-03,0,8,0%,78.1
2026-07-04,0,58,0%,81.3
2026-07-05,0,144,0%,77.3
2026-07-06,0,315,0%,76.7
2026-07-07,2,342,0.58%,79.8
2026-07-08,3,304,0.99%,75.7
2026-07-09,2,492,0.41%,78.3
2026-07-10,0,641,0%,70
2026-07-11,0,469,0%,74.6
2026-07-12,2,526,0.38%,75
2026-07-13,0,416,0%,77.1
2026-07-14,0,287,0%,65.6
2026-07-15,2,287,0.7%,63.1
2026-07-16,0,201,0%,68.8
2026-07-17,0,144,0%,66.5
2026-07-18,0,150,0%,64.9
2026-07-19,0,212,0%,65.6
2026-07-20,1,214,0.47%,63.1
2026-07-21,0,276,0%,55.9
2026-07-22,0,256,0%,65.2
2026-07-23,0,272,0%,60
2026-07-24,1,258,0.39%,57.9
2026-07-25,0,264,0%,52.3
2026-07-26,1,383,0.26%,52.9
2026-07-27,2,467,0.43%,51.5
2026-07-28,0,519,0%,51.9
2026-07-29,1,561,0.18%,54.7
2026-07-30,1,661,0.15%,51.3
2026-07-31,5,762,0.66%,48.7
2026-08-01,2,902,0.22%,43.1
2026-08-02,2,1330,0.15%,41.7
2026-08-03,4,1596,0.25%,43.4
2026-08-04,3,1346,0.22%,40.2
2026-08-05,1,1553,0.06%,41.6
2026-08-06,3,1770,0.17%,35.8
2026-08-07,2,1001,0.2%,38.8
2026-08-08,3,706,0.42%,35.7
2026-08-09,4,1968,0.2%,34.7
2026-08-10,6,1838,0.33%,33.5
2026-08-11,5,2318,0.22%,31
2026-08-12,6,2032,0.3%,42.7
2026-08-13,3,2657,0.11%,37
2026-08-14,4,1801,0.22%,35
2026-08-15,4,616,0.65%,41.3
2026-08-16,0,30,0%,60.5
2026-08-17,0,18,0%,64.3
2026-08-18,0,16,0%,70.9
